sample	speciesID	freq
21MD0099	ONCTSH	53
21MD0099	SALTRU	0
21MD0101	ONCGOR	7
21MD0101	ONCKET	0
21MD0101	ONCKIS	13
21MD0101	ONCMYK	0
21MD0101	ONCNER	0
21MD0101	ONCTSH	31
21MD0101	SALTRU	0
21MD0102	ONCGOR	5
21MD0102	ONCKET	0
21MD0102	ONCKIS	13
21MD0102	ONCMYK	0
21MD0102	ONCNER	0
21MD0102	ONCTSH	29
21MD0102	SALTRU	0
21MD0103	ONCGOR	25
21MD0103	ONCKET	0
21MD0103	ONCKIS	76
21MD0103	ONCMYK	0
21MD0103	ONCNER	0
21MD0103	ONCTSH	21463
21MD0103	SALTRU	0
21MD0104	ONCGOR	10
21MD0104	ONCKET	0
21MD0104	ONCKIS	20
21MD0104	ONCMYK	0
21MD0104	ONCNER	0
21MD0104	ONCTSH	33
21MD0104	SALTRU	0
21MD0105	ONCGOR	32
21MD0105	ONCKET	0
21MD0105	ONCKIS	72
21MD0105	ONCMYK	0
21MD0105	ONCNER	0
21MD0105	ONCTSH	102
21MD0105	SALTRU	0
21MD0106	ONCGOR	151
21MD0106	ONCKET	0
21MD0106	ONCKIS	415
21MD0106	ONCMYK	0
21MD0106	ONCNER	0
21MD0106	ONCTSH	1683
21MD0106	SALTRU	0
21MD0107	ONCGOR	178
21MD0107	ONCKET	0
21MD0107	ONCKIS	671
21MD0107	ONCMYK	10
21MD0107	ONCNER	0
21MD0107	ONCTSH	364
21MD0107	SALTRU	0
21MD0108	ONCGOR	18
21MD0108	ONCKET	0
21MD0108	ONCKIS	2054
21MD0108	ONCMYK	0
21MD0108	ONCNER	0
21MD0108	ONCTSH	1995
21MD0108	SALTRU	0
21MD0109	ONCGOR	2173
21MD0109	ONCKET	0
21MD0109	ONCKIS	759
21MD0109	ONCMYK	399
21MD0109	ONCNER	0
21MD0109	ONCTSH	17378
21MD0109	SALTRU	0
21MD0110	ONCGOR	28
21MD0110	ONCKET	0
21MD0110	ONCKIS	336
21MD0110	ONCMYK	0
21MD0110	ONCNER	0
21MD0110	ONCTSH	110
21MD0110	SALTRU	0
21MD0111	ONCGOR	41
21MD0111	ONCKET	0
21MD0111	ONCKIS	167
21MD0111	ONCMYK	5
21MD0111	ONCNER	0
21MD0111	ONCTSH	1890
21MD0111	SALTRU	0
21MD0112	ONCGOR	1019
21MD0112	ONCKET	0
21MD0112	ONCKIS	7891
21MD0112	ONCMYK	0
21MD0112	ONCNER	0
21MD0112	ONCTSH	206
21MD0112	SALTRU	0
21MD0113	ONCGOR	17
21MD0113	ONCKET	0
21MD0113	ONCKIS	52
21MD0113	ONCMYK	0
21MD0113	ONCNER	0
21MD0113	ONCTSH	90
21MD0113	SALTRU	0
21MD0114	ONCGOR	12
21MD0114	ONCKET	0
21MD0114	ONCKIS	3152
21MD0114	ONCMYK	0
21MD0114	ONCNER	0
