"","sample","species","count","percCOI2","species_name","common","sample.y","site","Collection.Date","day","month","year"
"111","21MD0052","ONCKET",3,20,"Oncorhynchus keta","Chum_Salmon","EJ_008","Tatoosh Cut",44177,12,12,2020
"112","21MD0052","ONCTSH",5,33.3333333333333,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_008","Tatoosh Cut",44177,12,12,2020
"113","21MD0053","ONCKIS",47740,100,"Oncorhynchus kisutch","Coho_Salmon","EJ_009","Tatoosh Cut",44177,12,12,2020
"114","21MD0054","ONCKET",2836,100,"Oncorhynchus keta","Chum_Salmon","EJ_010","Tatoosh Cut",44177,12,12,2020
"115","21MD0055","ONCKIS",16489,55.0826791381326,"Oncorhynchus kisutch","Coho_Salmon","EJ_011","Tatoosh Cut",44177,12,12,2020
"116","21MD0055","ONCTSH",13446,44.9173208618674,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_011","Tatoosh Cut",44177,12,12,2020
"117","21MD0056","ONCTSH",58329,100,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_012","Tatoosh Cut",44177,12,12,2020
"118","21MD0057","ONCKET",3,27.2727272727273,"Oncorhynchus keta","Chum_Salmon","EJ_013","Tatoosh Cut",44177,12,12,2020
"119","21MD0057","ONCKIS",8,72.7272727272727,"Oncorhynchus kisutch","Coho_Salmon","EJ_013","Tatoosh Cut",44177,12,12,2020
"120","21MD0058","ONCKET",57,8.24891461649783,"Oncorhynchus keta","Chum_Salmon","EJ_014","Tatoosh Cut",44177,12,12,2020
"121","21MD0058","ONCKIS",634,91.7510853835022,"Oncorhynchus kisutch","Coho_Salmon","EJ_014","Tatoosh Cut",44177,12,12,2020
"122","21MD0059","ONCKET",20,24.0963855421687,"Oncorhynchus keta","Chum_Salmon","EJ_015","Tatoosh Cut",44177,12,12,2020
"123","21MD0059","ONCTSH",15,18.0722891566265,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_015","Tatoosh Cut",44177,12,12,2020
"124","21MD0059","ONCKIS",31,37.3493975903614,"Oncorhynchus kisutch","Coho_Salmon","EJ_015","Tatoosh Cut",44177,12,12,2020
"125","21MD0059","ONCGOR",17,20.4819277108434,"Oncorhynchus gorbuscha","Pink_Salmon","EJ_015","Tatoosh Cut",44177,12,12,2020
"126","21MD0060","ONCKIS",6,14.6341463414634,"Oncorhynchus kisutch","Coho_Salmon","EJ_016","Tatoosh Cut",44177,12,12,2020
"127","21MD0060","ONCTSH",18,43.9024390243902,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_016","Tatoosh Cut",44177,12,12,2020
"128","21MD0060","ONCKET",8,19.5121951219512,"Oncorhynchus keta","Chum_Salmon","EJ_016","Tatoosh Cut",44177,12,12,2020
"129","21MD0060","ONCMYK",9,21.9512195121951,"Oncorhynchus mykiss","Steelhead","EJ_016","Tatoosh Cut",44177,12,12,2020
"130","21MD0061","ONCMYK",5,100,"Oncorhynchus mykiss","Steelhead","EJ_017","Tatoosh Cut",44177,12,12,2020
"131","21MD0062","ONCKET",52,19.4756554307116,"Oncorhynchus keta","Chum_Salmon","EJ_018","Tatoosh Cut",44177,12,12,2020
"132","21MD0062","ONCTSH",61,22.8464419475655,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_018","Tatoosh Cut",44177,12,12,2020
"133","21MD0062","ONCMYK",31,11.6104868913858,"Oncorhynchus mykiss","Steelhead","EJ_018","Tatoosh Cut",44177,12,12,2020
"134","21MD0062","ONCKIS",123,46.0674157303371,"Oncorhynchus kisutch","Coho_Salmon","EJ_018","Tatoosh Cut",44177,12,12,2020
"135","21MD0063","ONCTSH",14,70,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_019","Tatoosh Cut",44177,12,12,2020
"136","21MD0063","ONCKIS",6,30,"Oncorhynchus kisutch","Coho_Salmon","EJ_019","Tatoosh Cut",44177,12,12,2020
"137","21MD0064","ONCTSH",7,31.8181818181818,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_020","Tatoosh Cut",44177,12,12,2020
"138","21MD0064","ONCMYK",15,68.1818181818182,"Oncorhynchus mykiss","Steelhead","EJ_020","Tatoosh Cut",44177,12,12,2020
"139","21MD0065","ONCTSH",6,100,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_021","Tatoosh Cut",44177,12,12,2020
"140","21MD0066","ONCTSH",22,59.4594594594595,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_022","Tatoosh Cut",44177,12,12,2020
"141","21MD0066","ONCKIS",15,40.5405405405405,"Oncorhynchus kisutch","Coho_Salmon","EJ_022","Tatoosh Cut",44177,12,12,2020
"142","21MD0067","ONCKIS",1276,100,"Oncorhynchus kisutch","Coho_Salmon","EJ_023","Tatoosh Cut",44177,12,12,2020
"143","21MD0068","ONCKIS",103,91.1504424778761,"Oncorhynchus kisutch","Coho_Salmon","EJ_024","Tatoosh Cut",44177,12,12,2020
"144","21MD0068","ONCKET",3,2.65486725663717,"Oncorhynchus keta","Chum_Salmon","EJ_024","Tatoosh Cut",44177,12,12,2020
"145","21MD0068","ONCTSH",7,6.19469026548673,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_024","Tatoosh Cut",44177,12,12,2020
"146","21MD0069","ONCKET",3,2.67857142857143,"Oncorhynchus keta","Chum_Salmon","EJ_025","Tatoosh Cut",44177,12,12,2020
"147","21MD0069","ONCTSH",109,97.3214285714286,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_025","Tatoosh Cut",44177,12,12,2020
"148","21MD0070","ONCMYK",32,80,"Oncorhynchus mykiss","Steelhead","EJ_026","Tatoosh Cut",44177,12,12,2020
"149","21MD0070","ONCTSH",8,20,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_026","Tatoosh Cut",44177,12,12,2020
"150","21MD0071","ONCKIS",102,8.40197693574959,"Oncorhynchus kisutch","Coho_Salmon","EJ_027","Tatoosh Cut",44177,12,12,2020
"151","21MD0071","ONCKET",1009,83.1136738056013,"Oncorhynchus keta","Chum_Salmon","EJ_027","Tatoosh Cut",44177,12,12,2020
"152","21MD0071","ONCTSH",103,8.48434925864909,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_027","Tatoosh Cut",44177,12,12,2020
"153","21MD0073","ONCMYK",12,16.9014084507042,"Oncorhynchus mykiss","Steelhead","EJ_028","Tatoosh Cut",44177,12,12,2020
"154","21MD0073","ONCTSH",32,45.0704225352113,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_028","Tatoosh Cut",44177,12,12,2020
"155","21MD0073","ONCKET",6,8.45070422535211,"Oncorhynchus keta","Chum_Salmon","EJ_028","Tatoosh Cut",44177,12,12,2020
"156","21MD0073","ONCKIS",21,29.5774647887324,"Oncorhynchus kisutch","Coho_Salmon","EJ_028","Tatoosh Cut",44177,12,12,2020
"157","21MD0074","ONCKIS",36,59.0163934426229,"Oncorhynchus kisutch","Coho_Salmon","EJ_029","Tatoosh Cut",44177,12,12,2020
"158","21MD0074","ONCTSH",25,40.9836065573771,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_029","Tatoosh Cut",44177,12,12,2020
"159","21MD0075","ONCTSH",645,97.4320241691843,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_030","Tatoosh Cut",44177,12,12,2020
"160","21MD0075","ONCKIS",7,1.05740181268882,"Oncorhynchus kisutch","Coho_Salmon","EJ_030","Tatoosh Cut",44177,12,12,2020
"161","21MD0075","ONCKET",10,1.51057401812689,"Oncorhynchus keta","Chum_Salmon","EJ_030","Tatoosh Cut",44177,12,12,2020
"162","21MD0076","ONCMYK",4,9.52380952380952,"Oncorhynchus mykiss","Steelhead","EJ_031","Tatoosh Cut",44215,19,1,2021
"163","21MD0076","ONCTSH",34,80.9523809523809,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_031","Tatoosh Cut",44215,19,1,2021
"164","21MD0076","ONCKET",4,9.52380952380952,"Oncorhynchus keta","Chum_Salmon","EJ_031","Tatoosh Cut",44215,19,1,2021
"165","21MD0077","ONCTSH",44,77.1929824561403,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_032","Tatoosh Cut",44215,19,1,2021
"166","21MD0077","ONCMYK",8,14.0350877192982,"Oncorhynchus mykiss","Steelhead","EJ_032","Tatoosh Cut",44215,19,1,2021
"167","21MD0077","ONCKET",5,8.7719298245614,"Oncorhynchus keta","Chum_Salmon","EJ_032","Tatoosh Cut",44215,19,1,2021
"168","21MD0078","ONCKIS",424,100,"Oncorhynchus kisutch","Coho_Salmon","EJ_033","Tatoosh Cut",44215,19,1,2021
"169","21MD0079","ONCMYK",27,87.0967741935484,"Oncorhynchus mykiss","Steelhead","EJ_034","Tatoosh Cut",44215,19,1,2021
"170","21MD0079","ONCKET",4,12.9032258064516,"Oncorhynchus keta","Chum_Salmon","EJ_034","Tatoosh Cut",44215,19,1,2021
"171","21MD0080","ONCMYK",5,27.7777777777778,"Oncorhynchus mykiss","Steelhead","EJ_035","Tatoosh Cut",44215,19,1,2021
"172","21MD0080","ONCKIS",6,33.3333333333333,"Oncorhynchus kisutch","Coho_Salmon","EJ_035","Tatoosh Cut",44215,19,1,2021
"173","21MD0080","ONCTSH",7,38.8888888888889,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_035","Tatoosh Cut",44215,19,1,2021
"174","21MD0081","ONCMYK",9,60,"Oncorhynchus mykiss","Steelhead","EJ_036","Tatoosh Cut",44215,19,1,2021
"175","21MD0081","ONCKIS",3,20,"Oncorhynchus kisutch","Coho_Salmon","EJ_036","Tatoosh Cut",44215,19,1,2021
"176","21MD0081","ONCKET",3,20,"Oncorhynchus keta","Chum_Salmon","EJ_036","Tatoosh Cut",44215,19,1,2021
"177","21MD0082","ONCKET",2,9.09090909090909,"Oncorhynchus keta","Chum_Salmon","EJ_037","Tatoosh Cut",44215,19,1,2021
"178","21MD0082","ONCTSH",20,90.9090909090909,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_037","Tatoosh Cut",44215,19,1,2021
"179","21MD0083","ONCTSH",4057,100,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_038","Tatoosh Cut",44215,19,1,2021
"180","21MD0084","ONCMYK",9,5.73248407643312,"Oncorhynchus mykiss","Steelhead","EJ_039","Tatoosh Cut",44215,19,1,2021
"181","21MD0084","ONCTSH",125,79.6178343949045,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_039","Tatoosh Cut",44215,19,1,2021
"182","21MD0084","ONCKIS",9,5.73248407643312,"Oncorhynchus kisutch","Coho_Salmon","EJ_039","Tatoosh Cut",44215,19,1,2021
"183","21MD0084","ONCKET",14,8.9171974522293,"Oncorhynchus keta","Chum_Salmon","EJ_039","Tatoosh Cut",44215,19,1,2021
"184","21MD0085","ONCKIS",58,38.9261744966443,"Oncorhynchus kisutch","Coho_Salmon","EJ_040","Tatoosh Cut",44215,19,1,2021
"185","21MD0085","ONCKET",12,8.05369127516778,"Oncorhynchus keta","Chum_Salmon","EJ_040","Tatoosh Cut",44215,19,1,2021
"186","21MD0085","ONCMYK",12,8.05369127516778,"Oncorhynchus mykiss","Steelhead","EJ_040","Tatoosh Cut",44215,19,1,2021
"187","21MD0085","ONCTSH",67,44.9664429530201,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_040","Tatoosh Cut",44215,19,1,2021
"188","21MD0086","ONCKET",2,28.5714285714286,"Oncorhynchus keta","Chum_Salmon","EJ_041","Tatoosh Cut",44215,19,1,2021
"189","21MD0086","ONCMYK",5,71.4285714285714,"Oncorhynchus mykiss","Steelhead","EJ_041","Tatoosh Cut",44215,19,1,2021
"190","21MD0087","ONCKET",6,25,"Oncorhynchus keta","Chum_Salmon","EJ_042","Tatoosh Cut",44215,19,1,2021
"191","21MD0087","ONCMYK",18,75,"Oncorhynchus mykiss","Steelhead","EJ_042","Tatoosh Cut",44215,19,1,2021
"192","21MD0088","ONCMYK",10,18.1818181818182,"Oncorhynchus mykiss","Steelhead","EJ_043","Tatoosh Cut",44215,19,1,2021
"193","21MD0088","ONCKIS",10,18.1818181818182,"Oncorhynchus kisutch","Coho_Salmon","EJ_043","Tatoosh Cut",44215,19,1,2021
